income,expenditure
420.1577,255.8394
541.4117,310.9587
901.1575,485.68
639.0802,402.9974
750.8756,495.5608
945.7989,633.7978
829.3979,630.7566
979.1648,700.4409
1309.8789,830.9586
1492.3987,815.3602
502.839,338.0014
616.7168,412.3613
790.9225,520.0006
555.8786,452.4015
713.4412,512.7201
838.7561,658.8395
535.0766,392.5995
596.4408,443.5586
924.5619,640.1164
487.7583,333.8394
692.6397,466.9583
997.877,543.3969
506.9995,317.7198
654.1587,424.3209
933.9193,518.9617
433.6813,338.0014
587.5962,419.6412
896.4746,476.32
454.4782,386.3602
584.9989,423.2783
800.799,503.3572
502.4369,354.6389
713.5197,497.3182
906.0006,588.5195
880.5969,654.5971
796.8289,550.7274
854.8791,528.377
1167.3716,640.4813
523.8,401.3204
670.7792,435.999
377.0584,276.5606
851.543,588.3488
1121.0937,664.1978
625.5179,444.8602
805.5377,462.8995
558.5812,377.7792
884.4005,553.1504
1257.4989,810.8962
2051.1789,1067.9541
1466.333,1049.8788
730.0989,522.7012
2432.391,1424.8047
940.9218,517.9196
1177.8547,830.9586
1222.5939,925.5795
1519.5811,1162.0024
687.6638,383.458
953.1192,621.1173
953.1192,621.1173
953.1192,621.1173
939.0418,548.6002
1283.4025,745.2353
1511.5789,837.8005
1342.5821,795.3402
511.798,418.5976
689.7988,508.7974
1532.3074,883.278
1056.0808,742.5276
387.3195,242.3202
387.3195,242.3202
410.9987,266.001
499.751,408.4992
832.7554,614.7588
614.9986,385.3184
887.4658,515.62
1595.1611,1138.162
1807.952,993.963
541.2006,299.1993
1057.6767,750.3202
800.799,572.0807
1245.6964,907.3969
1201.0002,811.5776
634.4002,427.7975
956.2315,649.9985
1148.601,860.6002
1768.8236,1143.4211
2822.533,2032.6792
922.3548,590.6183
2293.192,1570.3911
627.4726,483.48
889.9809,600.4804
1162.2,696.2021
1197.0794,774.7962
530.7972,390.5984
1142.1526,612.5619
1088.0039,708.7622
484.6612,296.9192
1536.0201,1071.4627
678.8974,496.5976
671.8802,503.3974
690.4683,357.6411
860.6948,430.3376
873.3095,624.699
894.4598,582.5413
1148.647,580.2215
926.8762,543.8807
839.0414,588.6372
829.4974,627.9999
1264.0043,712.1012
1937.9771,968.3949
698.8317,482.5816
920.4199,593.1694
1897.5711,1033.5658
891.6824,693.6795
889.6784,693.6795
1221.4818,761.2791
544.5991,361.3981
1031.4491,628.4522
1462.9497,771.4486
830.4353,757.1187
975.0415,821.597
1337.9983,1022.3202
867.6427,679.4407
725.7459,538.7491
989.0056,679.9981
1525.0005,977.0033
672.196,561.2015
923.3977,728.3997
472.3215,372.3186
590.7601,361.521
831.7983,620.8006
1139.4945,819.9964
507.5169,360.878
576.1972,395.7608
696.5991,442.0001
650.818,404.0384
949.5802,670.7993
497.1193,297.5702
570.1674,353.4882
724.7306,383.9376
408.3399,284.8008
638.6713,431.1
1225.789,801.3518
715.3701,448.4513
800.4708,577.9111
975.5974,570.521
1613.7565,865.3205
608.5019,444.5578
958.6634,680.4198
835.9426,576.2779
1024.8177,708.4787
1006.4353,734.2356
726.0,433.001
494.4174,327.4188
776.5958,485.5198
415.4407,305.439
581.3599,468.0008
643.3571,459.8177
2551.6615,863.9199
1795.3226,831.4407
1165.7734,534.761
815.6212,392.0502
1264.2066,934.9752
1095.4056,813.3081
447.4479,263.71
1178.9742,769.0838
975.8023,630.5863
1017.8522,645.9874
423.8798,319.5584
558.7767,348.4518
943.2487,614.5068
1348.3002,662.0096
2340.6174,1504.3708
587.1792,406.218
1540.9741,692.1689
1115.8481,588.1371
1044.6843,511.2609
1389.7929,700.56
2497.786,1301.1451
1585.3809,879.066
1862.0438,912.8851
2008.8546,1509.7812
697.3099,484.0605
571.2517,399.6703
598.3465,444.1001
461.0977,248.8101
977.1107,527.8014
883.9849,500.6313
718.3594,436.8107
543.8971,374.799
1587.348,726.3921
4957.813,1827.2
969.6838,523.4911
419.998,334.9998
561.999,473.2009
689.5988,581.2029
1398.5203,929.754
820.8168,591.1974
875.1716,637.5483
1392.4499,674.9509
1256.3174,776.7589
1362.859,959.517
1999.2552,1250.9643
1209.473,737.8201
1125.0356,810.6772
1827.401,983.0009
1014.154,708.8968
880.3944,633.12
873.7375,631.7982
951.4432,608.6419
473.0022,300.9999
601.003,377.9984
713.9979,397.0015
829.2984,588.5195
959.7953,681.7616
1212.9613,807.3603
958.8743,696.8011
1129.4431,811.1962
1943.0419,1305.7201
539.6388,442.0001
463.599,353.6013
562.64,468.0008
736.7584,526.7573
1415.4461,890.239
2208.7897,1318.8033
636.0009,331.0005
759.401,416.4015
1078.8382,596.8406
748.6413,429.0399
987.6417,619.6408
788.0961,400.799
1020.0225,775.0209
1230.9235,772.7611
440.5174,306.5191
743.0772,522.6019
